marker	chr	pos	bp
JAX00282200	10	2.646001	8020991
JAX00014693	10	2.6460011	8023694
JAX00282202	10	2.6460012	8027822
JAX00282203	10	2.6460013	8027868
JAX00014694	10	2.6460014	8028452
JAX00014697	10	2.6460015	8066975
JAX00014698	10	2.6460016	8099865
JAX00014699	10	2.6460017	8106749
JAX00014700	10	2.6460018	8106817
JAX00282223	10	2.6460019	8170603
JAX00282229	10	2.646002	8188071
JAX00282230	10	2.6470	8191654
JAX00014708	10	2.6613	8225285
JAX00282235	10	2.6613001	8225368
JAX00282237	10	2.6615	8225950
JAX00282238	10	2.6636	8230807
JAX00282239	10	2.6649	8233776
JAX00014710	10	2.6761	8260153
JAX00282246	10	2.6770	8262407
JAX00014714	10	2.6948	8304242
JAX00282257	10	2.7093	8338300
JAX00282261	10	2.7153	8352341
JAX00282263	10	2.7166	8355458
JAX00282264	10	2.7169	8356088
JAX00014719	10	2.7268	8379585
JAX00014720	10	2.7273	8380610
JAX00282267	10	2.7305	8388192
JAX00014721	10	2.7311	8389616
JAX00282270	10	2.7374	8404360
JAX00282272	10	2.7388	8407766
JAX00282277	10	2.7535	8442352
JAX00282283	10	2.7591	8455518
JAX00282284	10	2.7591001	8455546
JAX00014725	10	2.7602	8457942
JAX00014727	10	2.7603	8458377
JAX00282286	10	2.7636	8466003
JAX00282290	10	2.7697	8480498
JAX00282292	10	2.7703	8481755
JAX00282293	10	2.7704	8481933
JAX00282297	10	2.7723	8486483
JAX00282302	10	2.7818	8508844
JAX00282306	10	2.8522	8554452
JAX00282308	10	2.8602	8557858
JAX00282309	10	2.8653	8559989
JAX00282316	10	2.8767	8564807
JAX00282317	10	2.8912	8570946
JAX00014734	10	2.9272	8586192
JAX00282321	10	2.9411	8592072
JAX00282324	10	2.9445	8593515
JAX00194554	10	3.0060	8649068
JAX00282330	10	3.0060001	8659148
JAX00282335	10	3.0060002	8665568
JAX00282340	10	3.0060003	8670175
JAX00282345	10	3.0060004	8673915
JAX00282348	10	3.0060005	8685505
JAX00014743	10	3.0060006	8698694
JAX00014745	10	3.0060007	8715163
JAX00014746	10	3.0060008	8735240
JAX00014747	10	3.0060009	8735323
JAX00014748	10	3.006001	8740945
JAX00282358	10	3.0060011	8747771
JAX00282362	10	3.0060012	8753611
JAX00282363	10	3.0060013	8754228
JAX00014749	10	3.0060014	8787327
JAX00014750	10	3.0060015	8787469
JAX00194558	10	3.0060016	8787676
JAX00282366	10	3.0060017	8789086
JAX00282368	10	3.0060018	8789576
JAX00282370	10	3.0060019	8790176
JAX00014752	10	3.006002	8817999
JAX00282378	10	3.0060021	8848917
JAX00282379	10	3.0060022	8850530
JAX00282380	10	3.0060023	8851311
JAX00282381	10	3.0060024	8851347
JAX00014756	10	3.0060025	8862419
JAX00014757	10	3.0060026	8862541
JAX00282383	10	3.0060027	8865642
JAX00282386	10	3.0060028	8875929
JAX00282388	10	3.0060029	8876473
JAX00014758	10	3.006003	8897814
JAX00282391	10	3.0060031	8903028
JAX00282392	10	3.0060032	8903245
JAX00282404	10	3.0060033	8973968
JAX00282405	10	3.0060034	8979219
JAX00282406	10	3.0060035	8979479
JAX00282410	10	3.0060036	8984203
JAX00282413	10	3.0060037	8989170
JAX00282417	10	3.0060038	8996111
JAX00282420	10	3.0060039	9005048
JAX00282421	10	3.006004	9006195
JAX00014767	10	3.0060041	9012237
JAX00282424	10	3.0060042	9029071
JAX00282425	10	3.0060043	9029131
JAX00014773	10	3.0209	9091387
JAX00282448	10	3.0518	9152848
JAX00014779	10	3.0630	9175182
JAX00014780	10	3.0638	9176689
JAX00282453	10	3.0725	9194119
JAX00014784	10	3.0891	9227205
JAX00282455	10	3.0906	9230045
JAX00282458	10	3.0926	9234083
JAX00282461	10	3.0930	9234913
JAX00282469	10	3.1069	9262502
JAX00282472	10	3.1088	9266289
JAX00014789	10	3.1251	9298904
JAX00282483	10	3.1539	9356200
JAX00014792	10	3.1545	9357427
JAX00282485	10	3.1549	9358101
JAX00014794	10	3.1572	9362831
JAX00282493	10	3.1647	9377621
JAX00014800	10	3.1995	9446935
JAX00282509	10	3.2137	9475300
JAX00014801	10	3.2138	9475529
JAX00014804	10	3.2218	9491328
JAX00282524	10	3.2308	9509212
JAX00282530	10	3.2365	9520652
JAX00014806	10	3.2518	9551130
JAX00014807	10	3.2533	9554053
JAX00014808	10	3.2548	9557180
JAX00282535	10	3.2556	9558736
JAX00282540	10	3.2638	9574966
JAX00014810	10	3.2659	9579286
JAX00014811	10	3.2741	9595620
JAX00282544	10	3.3141	9675118
JAX00282545	10	3.3142	9675335
JAX00282548	10	3.3179	9682789
JAX00014820	10	3.3256	9698150
JAX00014823	10	3.3533	9753211
JAX00014826	10	3.3754	9797181
JAX00282560	10	3.3754001	9797239
JAX00282562	10	3.3768	9800040
JAX00014827	10	3.3876	9821520
JAX00014828	10	3.3876001	9821585
JAX00014829	10	3.3877	9821640
JAX00282566	10	3.4111	9868384
JAX00014832	10	3.4112	9868577
JAX00282569	10	3.4132	9872535
JAX00282577	10	3.4397	9925276
JAX00014836	10	3.4400	9938493
JAX00194588	10	3.4400001	9942113
JAX00194589	10	3.4400002	9943695
JAX00014838	10	3.4400003	9956909
JAX00282588	10	3.4400004	9973513
JAX00014840	10	3.4400005	9984547
JAX00282590	10	3.4400006	9994695
JAX00282591	10	3.4400007	10030698
JAX00282592	10	3.4400008	10031346
JAX00282594	10	3.4400009	10040901
JAX00282595	10	3.440001	10067634
JAX00014846	10	3.4400011	10070814
JAX00282604	10	3.4400012	10116835
JAX00014852	10	3.4400013	10132031
JAX00014853	10	3.4400014	10147502
JAX00014855	10	3.4400015	10166994
JAX00282613	10	3.4400016	10167235
JAX00194594	10	3.4400017	10203101
JAX00194595	10	3.4400018	10203119
JAX00282614	10	3.4400019	10206808
JAX00282615	10	3.440002	10219075
JAX00282626	10	3.4400021	10246762
JAX00282628	10	3.4400022	10247205
JAX00282632	10	3.4400023	10268977
JAX00014864	10	3.4400024	10299188
JAX00014867	10	3.4400025	10338364
JAX00014868	10	3.4400026	10338709
JAX00282639	10	3.4400027	10348355
JAX00282641	10	3.4400028	10367883
JAX00194596	10	3.4400029	10368461
JAX00282643	10	3.440003	10372766
JAX00014870	10	3.4400031	10377520
JAX00014872	10	3.4400032	10428834
JAX00282649	10	3.4400033	10442727
JAX00282651	10	3.4400034	10449366
JAX00014875	10	3.4400035	10459137
JAX00282652	10	3.4400036	10463421
JAX00194601	10	3.4400037	10470721
JAX00282654	10	3.4400038	10493931
JAX00282659	10	3.4400039	10498971
JAX00282665	10	3.440004	10508750
JAX00282666	10	3.4400041	10524425
JAX00187274	10	3.4400042	10532386
JAX00282669	10	3.4400043	10537053
JAX00282682	10	3.4400044	10598066
JAX00282683	10	3.4400045	10598615
JAX00282686	10	3.4400046	10599359
JAX00282692	10	3.4400047	10606382
JAX00014888	10	3.4415	10619990
JAX00282698	10	3.4581	10633695
JAX00014889	10	3.4581001	10633738
JAX00282705	10	3.4826	10653896
JAX00014893	10	3.5255	10689179
JAX00282708	10	3.5255001	10689198
JAX00282711	10	3.5347	10696758
JAX00282712	10	3.5352	10697152
JAX00282716	10	3.5549	10713380
JAX00282717	10	3.5632	10720234
JAX00282718	10	3.5638	10720748
JAX00282720	10	3.5660	10722527
JAX00014898	10	3.5859	10738948
JAX00282727	10	3.6115	10760052
JAX00282729	10	3.6117	10760158
JAX00194608	10	3.6157	10763507
JAX00014900	10	3.6463	10788710
JAX00282733	10	3.6570	10821830
JAX00194613	10	3.6570001	10841573
JAX00282736	10	3.6570002	10846158
JAX00282738	10	3.6570003	10856394
JAX00014906	10	3.6570004	10861355
JAX00282741	10	3.6570005	10880036
JAX00282742	10	3.6570006	10899509
JAX00282743	10	3.6570007	10900933
JAX00014912	10	3.6570008	10942655
JAX00014913	10	3.6570009	10942703
JAX00282745	10	3.657001	10947116
JAX00282747	10	3.6570011	10959519
JAX00282748	10	3.6570012	10968237
JAX00014914	10	3.6570013	10968292
JAX00014916	10	3.6570014	10983914
JAX00194618	10	3.6570015	11004687
JAX00014917	10	3.6570016	11005195
JAX00194619	10	3.6570017	11011946
JAX00282753	10	3.6570018	11014640
JAX00282755	10	3.6570019	11017148
JAX00282758	10	3.657002	11018743
JAX00282759	10	3.6570021	11018797
JAX00282761	10	3.6570022	11023778
JAX00282762	10	3.6570023	11054170
JAX00282780	10	3.6570024	11081769
JAX00282781	10	3.6570025	11082462
JAX00282783	10	3.6570026	11099217
JAX00282785	10	3.6570027	11102294
JAX00282789	10	3.6570028	11115955
JAX00014924	10	3.6570029	11118548
JAX00014925	10	3.657003	11118608
JAX00014926	10	3.6570031	11147385
JAX00014927	10	3.6570032	11147580
JAX00282795	10	3.6570033	11150014
JAX00014928	10	3.6570034	11150115
JAX00282799	10	3.6570035	11153216
JAX00282801	10	3.6570036	11154756
JAX00194621	10	3.6570037	11224020
JAX00282810	10	3.6570038	11224719
JAX00014933	10	3.6570039	11225440
JAX00282814	10	3.657004	11229604
JAX00282815	10	3.6570041	11232039
JAX00282824	10	3.6570042	11280303
JAX00282827	10	3.6570043	11283126
JAX00282828	10	3.6570044	11283749
JAX00282830	10	3.6570045	11287139
JAX00014945	10	3.6570046	11374037
JAX00014947	10	3.6570047	11431125
JAX00282841	10	3.6570048	11434156
JAX00014949	10	3.6570049	11438397
JAX00282844	10	3.657005	11438510
JAX00282847	10	3.6570051	11456330
JAX00282850	10	3.6570052	11461300
JAX00282851	10	3.6570053	11461318
JAX00282854	10	3.6570054	11472048
JAX00282855	10	3.6570055	11472146
JAX00282857	10	3.6570056	11499681
JAX00282859	10	3.6570057	11500909
JAX00282864	10	3.6570058	11514150
JAX00282867	10	3.6570059	11514487
JAX00014956	10	3.657006	11530081
JAX00014957	10	3.6570061	11530215
JAX00282871	10	3.6570062	11531073
JAX00282887	10	3.6687	11632304
JAX00282888	10	3.6687001	11632406
JAX00282893	10	3.6817	11656094
JAX00014965	10	3.6885	11668422
JAX00014966	10	3.6886	11668646
JAX00014969	10	3.6991	11687847
JAX00282899	10	3.7118	11711075
JAX00014973	10	3.7229	11731227
JAX00282907	10	3.7567	11793102
JAX00014981	10	3.7650	11859051
JAX00282919	10	3.7650001	11868653
JAX00282921	10	3.7650002	11886202
JAX00282923	10	3.7650003	11911156
JAX00282926	10	3.7650004	11920341
JAX00014987	10	3.7650005	11938923
JAX00282929	10	3.7650006	11967908
JAX00282931	10	3.7650007	11974055
JAX00282932	10	3.7650008	11978982
JAX00014989	10	3.7650009	11979582
JAX00014990	10	3.765001	11980044
JAX00282934	10	3.7650011	12000351
JAX00194638	10	3.7650012	12003847
JAX00014994	10	3.7650013	12004009
JAX00282937	10	3.7650014	12009938
JAX00282939	10	3.7650015	12038228
JAX00014995	10	3.7650016	12040478
JAX00014996	10	3.7650017	12040559
JAX00014997	10	3.7650018	12040572
JAX00282945	10	3.7650019	12063916
JAX00282946	10	3.765002	12064040
JAX00282948	10	3.7650021	12074737
JAX00194640	10	3.7650022	12091171
JAX00014999	10	3.7650023	12116593
JAX00015000	10	3.7650024	12118905
JAX00282952	10	3.7650025	12122759
JAX00282953	10	3.7650026	12124935
JAX00282956	10	3.7650027	12126720
JAX00015001	10	3.7650028	12126807
JAX00282957	10	3.7650029	12129228
JAX00282959	10	3.765003	12130071
JAX00282961	10	3.7650031	12131847
JAX00282965	10	3.7650032	12134754
JAX00015003	10	3.7650033	12141688
JAX00282967	10	3.7707	12154920
JAX00282974	10	3.7947	12197525
JAX00282979	10	3.8081	12221271
JAX00282984	10	3.8112	12226761
JAX00015011	10	3.8271	12255021
JAX00194644	10	3.8354	12269781
JAX00282997	10	3.8395	12277110
JAX00282999	10	3.8399	12277842
JAX00194646	10	3.8401	12278189
JAX00283000	10	3.8422	12281839
JAX00015014	10	3.8512	12297814
JAX00283004	10	3.8546	12303944
JAX00015016	10	3.8662	12324519
JAX00283005	10	3.8730	12342910
JAX00283007	10	3.8730001	12343163
JAX00283009	10	3.8730002	12344221
JAX00283013	10	3.8730003	12363430
JAX00015019	10	3.8730004	12371455
JAX00015021	10	3.8730005	12386564
JAX00015024	10	3.8730006	12402777
JAX00283021	10	3.9496	12432247
JAX00283023	10	3.9579	12435454
JAX00283024	10	3.9587	12435735
JAX00283029	10	3.9754	12442178
JAX00015025	10	3.9865	12446431
JAX00194648	10	3.9871	12446658
JAX00194649	10	3.9874	12446772
JAX00194650	10	3.9875	12446794
JAX00283033	10	4.0427	12468024
JAX00283040	10	4.1248	12499545
JAX00015028	10	4.1552	12511241
JAX00283041	10	4.1673	12515896
JAX00283047	10	4.1789	12520346
JAX00283050	10	4.1823	12521670
JAX00283052	10	4.1905	12524792
JAX00283058	10	4.1993	12528197
JAX00015031	10	4.2383	12543167
JAX00283061	10	4.3205	12574731
JAX00283062	10	4.3210	12574940
JAX00283064	10	4.3735	12595126
JAX00283070	10	4.4610	12628725
JAX00283071	10	4.4623	12629213
JAX00283073	10	4.4764	12634637
JAX00015040	10	4.4996	12643555
JAX00283078	10	4.5674	12669590
JAX00283079	10	4.5686	12670055
JAX00015042	10	4.5833	12675704
JAX00283080	10	4.5859	12676728
JAX00015045	10	4.6569	12704009
JAX00283081	10	4.6574	12704172
JAX00283082	10	4.6596	12705048
JAX00283085	10	4.6745	12710768
JAX00283088	10	4.7220	12730320
JAX00283089	10	4.7220001	12737540
JAX00015050	10	4.7220002	12764621
JAX00283095	10	4.7220003	12765145
JAX00283096	10	4.7220004	12765970
JAX00283100	10	4.7220005	12787350
JAX00283104	10	4.7220006	12801703
JAX00283105	10	4.7220007	12804813
JAX00015053	10	4.7220008	12822176
JAX00283110	10	4.7220009	12828274
JAX00283114	10	4.722001	12839954
JAX00283116	10	4.7220011	12860252
JAX00283120	10	4.7220012	12867084
JAX00283133	10	4.7220013	12906890
JAX00015059	10	4.7220014	12907598
